Meas, V1, V2, V3, V4
0, -0.011547636, 0.030496384, 0.020577411, 0.039948484
1, 0.011679804, 0.018341902, 0.030290977, 0.027925066
2, 0.030583303, 0.039976351, 0.008736954, 0.019007497
3, 0.027274428, 0.018996720, 0.033065192, 0.032094927
4, 0.015369828, 0.020224680, 0.024321930, -0.010518166
5, 0.012187590, 0.028205249, 0.014211502, 0.024269017
6, 0.015861479, 0.015167127, -0.000159668, 0.001216137
7, 0.008955562, 0.001654799, 0.012520687, 0.042382770
8, -0.002073803, 0.012104407, 0.003651855, 0.013814604
9, 0.018107449, 0.011632919, 0.001262931, -0.006299428
