Meas, V1, V2, V3, V4
0, -0.001068272, 0.010175826, -0.001563827, 0.007884667
1, 0.026542912, 0.029991361, 0.010387754, 0.035436849
2, 0.018979491, 0.034066213, 0.039250648, 0.050267742
3, 0.011356304, 0.017227873, 0.036619076, 0.005122162
4, 0.020078163, 0.014400096, 0.006247688, 0.041650079
5, 0.033584065, 0.029863254, 0.017929350, 0.017053203
6, 0.032576147, -0.004179114, 0.000157971, 0.035797987
7, 0.002765512, 0.023684046, 0.038518345, 0.034538657
8, 0.012404347, 0.031781342, 0.020674655, 0.009117781
9, 0.043574061, 0.042171050, 0.015465229, 0.006278149
10, -0.003399423, 0.038815062, 0.031250201, 0.006606764
11, 0.037195695, -0.013677384, 0.027977791, -0.010513460
12, -0.011450790, 0.026981679, 0.004571585, -0.013905142
13, 0.005206930, 0.019580563, 0.039439581, 0.024675664
14, 0.025251794, -0.010825000, 0.023784440, 0.016886945
15, -0.013516341, 0.015734597, 0.028443964, -0.011466694
16, 0.014515446, 0.012666353, 0.025033613, 0.008109558
17, 0.044961065, 0.029763082, 0.000089021, -0.003816202
18, 0.041691367, -0.010103961, 0.002397474, 0.006157038
19, 0.020306490, -0.010097638, 0.008292126, 0.006242198
20, 0.017136093, 0.016312348, 0.032325436, -0.002468844
21, 0.007444321, 0.017165104, -0.005842783, 0.004234503
22, 0.032921320, 0.009317122, 0.041047499, -0.009500193
23, 0.025409229, 0.024237944, -0.010998695, 0.031874323
24, -0.011210045, 0.006598283, 0.041984888, 0.022586297
25, -0.010112169, 0.035991147, 0.016648335, 0.027937182
26, -0.001206640, -0.000887170, 0.020300893, 0.025259273
27, 0.000945936, 0.040196079, 0.008893963, 0.020813761
28, -0.013899508, 0.014618012, -0.015796941, 0.036566966
29, 0.031100588, 0.034530882, 0.023123667, 0.041515492
30, 0.031885546, -0.007083453, -0.010753252, -0.010179191
31, 0.020051250, 0.035392378, 0.024415349, 0.032699421
32, 0.013273251, 0.015449603, 0.009014120, 0.005852430
33, 0.034716553, 0.012156932, 0.029001725, 0.032927274
34, 0.021639976, 0.037079382, 0.040979604, -0.003163874
35, 0.020314704, 0.002973384, 0.019855102, 0.018395985
36, 0.034689767, 0.031804476, 0.040799141, 0.042634514
37, 0.007885598, 0.036538154, 0.012904576, 0.002878677
38, -0.006481141, 0.003510558, 0.041244952, 0.011847161
39, 0.001552136, -0.017910036, 0.036446764, -0.002080663
40, 0.006015240, 0.002690917, -0.007414912, -0.002109387
41, 0.023705397, 0.001219232, 0.031305700, 0.022676464
42, 0.000336852, 0.017504945, 0.013543360, 0.042254434
43, -0.001337468, 0.030981744, -0.011930860, 0.003851253
44, 0.034838828, 0.021250274, -0.000290084, 0.042135790
45, 0.026394371, -0.013697079, 0.000455692, 0.024875109
46, 0.021020669, 0.008442206, 0.023859951, 0.031575512
47, 0.014835763, -0.009403901, 0.043025570, 0.024522689
48, -0.003216660, 0.036868432, 0.005399290, 0.032357637
49, -0.002386334, 0.007253946, 0.035240440, 0.015989537
50, -0.006970064, 0.007765784, 0.006224037, 0.002380434
51, 0.013687624, 0.018816876, 0.021622720, -0.013954415
52, 0.005998698, 0.039015318, 0.022397190, 0.000813959
53, 0.009327790, 0.007022177, 0.008176351, 0.021182296
54, 0.014093395, 0.031996356, -0.001136434, 0.010809249
55, 0.008452537, 0.026013967, 0.013097361, -0.003757845
56, 0.002995362, -0.003814265, 0.023823251, -0.009810030
57, 0.042876024, 0.003974930, 0.014742845, 0.008625305
58, 0.010503373, 0.026587682, 0.007692803, 0.040625986
59, 0.042360806, -0.007918349, 0.002014368, 0.041725766
60, -0.007266030, 0.022230435, 0.016664519, 0.013023452
61, -0.006296214, 0.023642013, 0.001691298, -0.004902485
62, 0.001671775, 0.042203949, -0.004131825, 0.039127239
63, -0.004093506, 0.030799324, 0.028986463, 0.026005334
64, 0.042672422, -0.002433526, 0.002356029, 0.037225388
65, 0.031808284, 0.004793614, 0.007052162, 0.044153202
66, 0.043982105, 0.027580798, -0.006310999, 0.005286312
67, 0.034234653, 0.009744647, 0.009762158, 0.028227366
68, 0.022147357, 0.043699216, 0.011993878, 0.017694258
69, 0.048304914, 0.011162091, 0.040207121, 0.045597701
70, 0.016964030, 0.035615822, 0.013602454, -0.009309492
71, 0.012553364, -0.007406118, 0.013106683, 0.001024929
72, 0.039201767, 0.047375410, 0.023493716, 0.003922631
73, -0.004028522, -0.010080690, 0.008654145, 0.012833994
74, 0.008211230, 0.021501852, -0.016457837, 0.030258937
75, 0.001342555, 0.022280873, -0.005313766, 0.009786180
76, 0.041706242, 0.029224825, -0.011622803, 0.016859928
77, -0.014548075, -0.005048451, -0.002493998, 0.029813339
78, 0.006495141, 0.041598969, 0.009463000, -0.010565384
79, -0.008342272, 0.026129533, 0.038663907, 0.043012699
80, -0.002150552, -0.001006785, 0.038282435, -0.001541952
81, 0.004615702, 0.034196729, 0.002968177, -0.008621489
82, 0.032340508, 0.008362807, -0.013647809, 0.013050658
83, 0.029410794, 0.015788521, 0.026750283, 0.019002976
84, -0.000715518, 0.001764579, -0.011669934, 0.011945277
85, -0.002142610, 0.036856477, -0.001927201, 0.011397701
86, 0.019159809, 0.007173615, 0.004402716, -0.012373779
87, -0.000561788, 0.031523472, -0.009192474, 0.030358126
88, 0.019239600, 0.004425919, 0.002580039, 0.041397827
89, -0.005821338, 0.009012822, 0.017705613, 0.020896284
90, -0.007938784, 0.029543909, 0.014235597, 0.023122346
91, 0.007941737, 0.050155253, 0.006150432, -0.003531379
92, 0.020577991, 0.002222964, 0.019578359, 0.002781557
93, 0.012335843, 0.040020688, 0.020973265, 0.038214645
94, 0.010642741, 0.033848252, -0.012026842, 0.021533196
95, 0.036070277, 0.000081512, -0.007866368, 0.015348868
96, 0.011316661, 0.044692517, 0.023645113, 0.021077236
97, 0.028705056, 0.020084852, 0.006745021, -0.011856013
98, -0.001816234, 0.012604353, 0.033450073, 0.029508232
99, -0.001271055, 0.036344209, 0.032719393, 0.025265102
100, -0.009882521, 0.038183459, 0.000676226, -0.002078142
101, 0.030844501, 0.018683540, 0.021736073, 0.019680437
102, 0.030052329, 0.027869587, 0.018906536, 0.037073738
103, 0.004232818, 0.038982665, 0.026965210, 0.011820869
104, 0.017251838, 0.022574352, 0.027906142, 0.003257007
105, -0.010953322, -0.000275318, 0.043547672, 0.004000425
