Meas, V1, V2, V3, V4
0, 0.035640401, 0.020223871, 0.023659188, 0.022318033
1, 0.018934439, 0.012595395, 0.001709722, -0.002016961
2, 0.002174579, 0.039759386, 0.042031602, 0.023639509
3, 0.013683630, 0.027088816, -0.016867066, -0.007520358
4, -0.000209839, 0.020851541, 0.046750293, 0.024255512
5, 0.011165588, 0.031193746, 0.020027688, -0.005810895
6, 0.006399893, 0.011297849, -0.006451215, 0.004538598
7, 0.015518574, 0.038640342, 0.040132348, 0.041942653
8, 0.020843417, 0.030924787, 0.034379064, 0.014805504
9, 0.016505879, -0.008440624, 0.004546976, 0.019733268
10, 0.009385480, 0.036870267, 0.005132725, 0.022153406
11, 0.015326526, 0.001077967, 0.040152731, -0.005068873
12, 0.024707099, 0.027892635, 0.034305467, -0.000666095
13, 0.011181817, 0.013884257, 0.012141956, 0.010946432
14, 0.021692674, -0.003800769, 0.028535366, 0.004387145
15, -0.001267278, 0.045497354, 0.016639718, 0.019368830
16, 0.011620138, 0.016517893, -0.005502374, -0.001455617
17, -0.005327072, 0.000157644, -0.004849542, 0.002192186
18, 0.031958364, 0.000806628, 0.033902413, 0.006360208
19, 0.014155213, 0.027292902, 0.023960000, 0.038189622
20, 0.011423802, 0.030999986, 0.035238942, 0.027317309
21, 0.026973243, -0.004925647, -0.003794212, 0.004221154
22, -0.008578189, 0.019087406, 0.041608237, 0.038444369
23, 0.002075181, 0.013268110, 0.042930449, 0.037718254
24, 0.010974025, 0.001778011, 0.008220823, -0.006160244
25, 0.009037555, -0.000215615, 0.005202418, 0.026077636
26, -0.015319605, 0.037707445, 0.010490132, 0.040456743
27, -0.007582733, 0.028605799, -0.005058488, 0.027264727
28, 0.003976640, 0.030714447, 0.023655602, 0.045225723
29, -0.000863073, -0.004314544, 0.010129107, 0.039630437
30, -0.017845656, 0.003183076, 0.025997049, 0.001067924
31, -0.007190284, -0.015221703, 0.033344340, 0.006377645
32, 0.013393719, 0.039514861, 0.042082832, 0.025120038
33, -0.014987149, 0.019673716, -0.013333557, -0.013361742
34, 0.008220185, 0.028143210, 0.012646412, 0.023500512
35, 0.033902767, 0.010067309, 0.006977212, 0.009260689
36, 0.030293092, 0.008183174, 0.005603003, 0.018446869
37, 0.003017618, 0.004743515, -0.002536956, 0.002573520
38, 0.017984632, 0.025895729, 0.009438400, 0.032137887
39, 0.004011740, 0.017314053, 0.030874191, -0.010090954
40, 0.005233409, -0.008922614, 0.033349678, 0.038939002
41, 0.031082863, 0.021035983, 0.009518878, 0.008868972
42, 0.018494360, 0.042815253, 0.015222067, 0.018934177
43, 0.007266236, 0.034424152, 0.027432883, 0.003417267
44, 0.038666035, 0.011875056, 0.005314984, 0.037732012
45, 0.012469249, 0.032335329, 0.004511474, 0.008114834
46, 0.004095025, 0.029326007, -0.016147172, 0.005662815
47, 0.008507337, 0.026007790, 0.003406505, 0.032141336
48, 0.022685707, 0.010107714, 0.037924910, 0.047742947
49, -0.011117892, 0.006231474, 0.042997886, 0.013772413
50, 0.017546065, 0.003651123, -0.008654647, -0.014614227
51, 0.029337229, 0.038647232, 0.025333220, 0.012572070
52, 0.014307835, 0.013941053, -0.006679392, 0.031440515
53, -0.000699171, 0.033707117, 0.005676432, 0.044463789
54, -0.005827977, 0.002177857, 0.010083490, 0.038364458
55, -0.010801015, 0.027865490, 0.023005914, 0.001182535
56, 0.020990765, -0.013690624, 0.033156522, -0.004100926
57, 0.026347653, 0.023564738, 0.027267655, 0.016981780
58, -0.000588401, 0.009773660, 0.023404272, 0.021220501
59, 0.006146412, 0.036053907, -0.011449076, -0.000963118
60, -0.013967710, 0.012689080, 0.029980844, 0.006311629
61, 0.032910887, 0.011430553, 0.031541903, -0.004528214
62, -0.003623950, 0.000226296, 0.013882072, 0.013743800
63, 0.015594701, -0.003904227, -0.001075458, 0.037968594
64, 0.023084310, -0.006543362, -0.011013229, 0.041467083
65, 0.031512716, 0.018747822, -0.014906504, 0.025193838
66, 0.033888060, 0.030953758, -0.015507512, -0.003395524
67, 0.023300382, 0.014428018, 0.033107099, 0.044602267
68, 0.025884049, 0.009174320, -0.010988549, 0.018618294
69, -0.003817932, 0.028307363, 0.028533090, 0.013248639
70, 0.006239072, 0.022036639, 0.040996172, 0.021763425
71, 0.009896965, 0.012308773, 0.033848208, 0.006373003
72, -0.016183618, 0.042748249, -0.008077022, -0.008511389
73, 0.013658455, 0.041102422, 0.014806937, -0.005388361
74, 0.039653511, -0.002993257, 0.017140598, -0.009296224
75, -0.005526798, -0.006858828, 0.030329030, 0.017255888
76, -0.002302960, -0.002810893, -0.000730514, 0.021136104
77, 0.024296747, -0.002796228, 0.009395751, 0.026165911
78, 0.016827179, 0.010396236, -0.005581904, 0.024376811
79, 0.018022493, 0.011038052, 0.031438988, 0.005640167
80, 0.045007497, -0.005656945, 0.040260071, -0.014515759
81, -0.005077205, 0.008997170, 0.005733137, 0.017206510
82, 0.032466201, 0.026538105, 0.007430177, 0.032222507
83, -0.014616050, 0.006674509, 0.007608262, -0.003169785
84, -0.006336351, 0.023568459, 0.011642386, 0.012100063
85, 0.007429139, 0.015692860, 0.025061299, 0.026239512
86, 0.006730967, -0.015880614, 0.032981086, 0.038228918
87, 0.000967993, 0.028607548, 0.015784097, 0.006895951
88, 0.005276413, 0.019891298, 0.042596065, 0.002533294
89, 0.025019021, 0.024019939, 0.030910854, 0.010057792
90, 0.033549389, 0.017885281, 0.008032129, 0.045707577
91, 0.017976080, 0.012438011, 0.007075782, -0.002154360
92, 0.029763588, 0.012203210, 0.032312630, 0.016501282
93, 0.022057583, 0.039495515, 0.020826166, 0.044717665
94, 0.024113477, 0.015865091, 0.036143355, 0.003268954
95, 0.015805301, 0.014320017, 0.032308455, 0.020149465
96, -0.009503445, 0.027649533, 0.027944632, 0.024343406
