Meas, V1, V2, V3, V4
0, 0.024466827, -0.010443442, -0.014667561, 0.029945132
1, 0.030570413, 0.008048030, 0.024399771, 0.018748132
2, 0.043769500, 0.015750897, 0.030605450, 0.025088464
3, 0.025382882, 0.024956722, 0.003736189, 0.006641724
4, 0.005366355, 0.017137436, 0.026489861, 0.020848082
5, 0.000747452, 0.000660111, 0.019343482, 0.028096063
6, -0.012443300, 0.002423381, 0.026578043, 0.009025938
7, 0.035865494, 0.022178022, 0.001740681, 0.035634180
8, 0.020458375, -0.012276422, 0.011775422, -0.003720496
9, -0.003453055, 0.035042741, 0.027930254, 0.040281272
10, 0.021161169, 0.013285729, 0.020650662, 0.015127172
