Meas, V1, V2, V3, V4
0, 0.003934507, 0.021520912, 0.029069584, 0.015286464
1, 0.027035015, -0.004427307, 0.017873330, -0.019365433
2, -0.003174244, 0.009500442, 0.013323017, -0.011857860
3, -0.017652247, -0.023567347, 0.014966268, -0.023967899
4, 0.002191588, 0.000555947, 0.010127517, -0.022378328
5, 0.012222247, -0.016171039, -0.008696400, -0.006268853
6, -0.024023194, -0.005090355, 0.006829485, 0.002240195
7, 0.005612215, 0.019028272, -0.011341120, 0.023210570
8, -0.005242840, -0.016447145, 0.014926695, 0.025245859
9, 0.013283233, -0.010869630, -0.001194848, -0.022691938
10, -0.028747256, 0.007724937, 0.009265815, 0.014275834
11, 0.018959566, -0.017825956, 0.003750069, -0.020967225
12, -0.025073597, 0.003709649, 0.026507246, 0.004574419
13, -0.000989700, -0.023445751, 0.017477779, 0.026659518
14, -0.001049320, 0.004547739, 0.027089169, 0.003147750
15, -0.014037537, -0.016698349, -0.020280009, -0.005150483
16, -0.013643186, -0.007323102, -0.022504743, -0.020313378
17, 0.020439143, 0.020888165, 0.017455990, 0.005497863
18, -0.005920705, -0.005819063, 0.023639354, 0.022766414
19, -0.014091752, 0.001706214, -0.011515188, -0.010149222
20, -0.003116893, 0.002810365, 0.001630923, 0.029772963
21, 0.028355148, 0.028438801, 0.024010237, -0.001911682
22, -0.006067271, 0.002171560, -0.013001862, -0.014154612
23, -0.011341583, -0.008084088, 0.030846035, 0.007411982
24, 0.023833353, 0.009882323, 0.003093724, 0.028816180
25, 0.010981387, 0.020016702, -0.002093116, -0.011091438
26, 0.024152375, 0.008672234, -0.011707112, -0.014761283
27, -0.025619017, 0.006200872, 0.006516216, 0.005973746
28, -0.017304407, -0.026992951, 0.026116397, -0.002529698
29, 0.015943026, -0.012554866, 0.030306988, 0.008931890
30, 0.018202653, -0.019861582, 0.002994726, 0.007253784
31, -0.026974143, -0.001028942, 0.022234619, -0.009163020
32, 0.009563311, -0.008787360, -0.021142212, -0.024035312
33, 0.019150841, 0.013796016, -0.006760041, -0.008755879
34, -0.021757389, -0.000763615, 0.012804287, 0.021689649
35, 0.018575976, -0.019349331, -0.020212048, 0.025015859
36, 0.023638995, -0.000650961, -0.005476432, 0.016475346
37, -0.006712272, -0.005262490, -0.012750740, -0.010631880
38, -0.010371386, -0.001828267, -0.009592166, -0.021459670
39, -0.023029742, 0.024964158, 0.009293666, 0.029538839
40, 0.014555328, -0.003655143, 0.014490848, -0.011659319
41, 0.004995531, 0.012466075, -0.001484808, -0.006845576
42, -0.018274630, 0.023449988, 0.026455059, 0.020745900
43, -0.007254140, 0.025266356, -0.022151516, 0.003720200
44, 0.020299844, -0.004188647, 0.030726878, 0.023633185
45, -0.023203235, -0.018972983, 0.020068286, -0.006007388
46, 0.001317647, 0.012238020, -0.023762399, 0.029135512
47, 0.016604857, 0.006748885, 0.009600356, 0.019940882
48, -0.008553823, 0.024211334, 0.008698447, 0.024488155
49, -0.010435619, -0.032208971, -0.010338358, 0.014054143
50, -0.005431878, -0.018727094, 0.012085477, -0.001611215
51, 0.023755385, -0.023165371, 0.025084232, 0.009636301
52, 0.022374011, 0.021363240, 0.018256797, -0.017942808
53, -0.015727934, 0.006459024, 0.015256187, -0.004631557
54, -0.004178522, -0.014529862, -0.005671928, 0.007349774
55, -0.012222377, -0.017916563, 0.026366243, 0.014999727
56, 0.015505274, 0.002480011, -0.004645528, -0.009484164
57, 0.004317169, -0.004779968, 0.005399166, -0.017520410
58, -0.009026969, 0.021367282, 0.019519720, -0.018349882
59, -0.023342054, -0.019795684, -0.019506698, 0.021847898
60, -0.007274462, -0.007193717, 0.002588893, -0.019971466
61, 0.025815939, -0.024320805, -0.021619147, 0.008137579
62, -0.009470837, -0.002014588, -0.023055426, -0.009906426
63, 0.013235016, 0.013230422, -0.011096219, -0.021554014
64, 0.011458456, -0.008874183, 0.024540731, -0.024557469
65, -0.017159489, 0.002470102, 0.029635658, -0.012193261
66, -0.015331650, -0.008818112, 0.005170335, 0.023573749
67, -0.020234379, 0.003369680, -0.011084723, 0.023703264
68, -0.004334420, 0.008246135, -0.005728810, 0.014565444
69, -0.016408913, -0.022412344, 0.019879858, 0.027727426
70, 0.004782678, 0.022561343, -0.013357904, -0.019708474
71, -0.001404875, -0.020962300, 0.016209425, 0.013969460
72, -0.004740918, 0.006437053, -0.002665105, -0.024376562
73, 0.002119289, 0.012103851, -0.003770801, -0.019692216
74, -0.023540811, -0.006638898, -0.006195749, 0.009149481
75, -0.008946672, 0.013721838, -0.020011589, 0.016649474
76, -0.018658118, -0.007779870, -0.009977112, 0.008450919
77, -0.022561558, -0.022979332, 0.018631282, 0.029946403
78, 0.016060528, 0.020380640, 0.025111355, 0.004455022
79, 0.015237187, -0.000123140, 0.009472125, 0.007486322
80, -0.000115364, 0.010533417, 0.022173972, -0.006128158
81, 0.010862129, -0.015571391, 0.019245379, -0.004059158
82, -0.019309406, -0.024676863, 0.016756073, -0.024718076
83, 0.002269519, 0.001378392, -0.009203824, 0.015640114
84, -0.014661094, -0.000683538, -0.002488907, 0.010517032
85, 0.013436449, 0.015630939, -0.008111355, -0.019438618
86, 0.019554279, -0.016632689, 0.003508447, -0.004086302
87, 0.017408244, -0.013678087, -0.022196408, 0.010838296
88, 0.018922222, -0.015500460, -0.022909802, 0.006532603
89, -0.017839338, 0.011385317, 0.005939028, 0.021673659
90, 0.007392104, -0.024826547, 0.026723378, 0.005017281
91, 0.028235054, 0.008602327, 0.018896416, 0.025156060
92, -0.017207886, -0.026959663, 0.013288706, -0.028819641
93, -0.019396089, -0.000979593, 0.004020959, -0.008571257
94, -0.023369622, -0.003915785, -0.008878813, -0.009737432
95, -0.010830698, -0.006267734, -0.018317146, -0.025438412
96, -0.028144909, -0.000721084, -0.019176478, 0.022847287
97, 0.014572686, -0.015631436, -0.025176539, 0.000934808
98, 0.011779291, 0.006828256, -0.007352978, -0.020594471
99, 0.018575195, 0.010317785, 0.025641287, -0.017520998
100, 0.005571368, -0.027808438, 0.021229098, 0.030497389
101, -0.000017808, -0.010343236, -0.012609422, -0.021849391
102, -0.012723675, -0.000826635, 0.022690529, -0.017487075
103, 0.007401743, 0.013521905, -0.011090335, 0.024959905
104, -0.016124032, 0.009490516, 0.014687202, -0.015507672
105, 0.024010859, 0.021379462, 0.023355197, -0.013240585
106, -0.005909476, -0.011090873, 0.028416441, -0.012721299
107, -0.032281420, -0.030744524, 0.021698688, -0.008888952
108, -0.013003979, -0.007299315, 0.027574178, -0.000095056
109, -0.013314108, 0.013567075, 0.001882038, -0.012901382
110, 0.011114238, 0.010790033, 0.012295754, -0.016650969
111, 0.004984828, 0.010053554, -0.003016950, -0.019761583
112, 0.008073467, 0.005442703, -0.018371008, -0.016180081
113, 0.025803968, 0.009201840, -0.011831296, 0.005946736
114, 0.016914248, 0.024068140, 0.027157112, 0.025721655
115, -0.009734231, 0.002198011, -0.015508035, 0.027298174
116, 0.013258817, 0.016759712, 0.011872294, -0.014280395
117, -0.024548770, -0.014269184, 0.031803835, 0.011155481
118, -0.017125145, -0.016865365, 0.009300782, -0.023464107
119, 0.015656249, 0.012593689, 0.017557393, -0.002726636
120, -0.014294086, -0.014691857, 0.008309598, -0.018379568
121, -0.002270651, 0.025787389, 0.028950742, 0.007652886
122, 0.004299147, 0.025333364, -0.020526419, 0.011205181
123, -0.028782722, -0.010930442, 0.007488468, -0.021603291
124, 0.006195087, 0.007274560, -0.010461494, -0.012793618
125, 0.019622200, -0.009782727, -0.014345907, 0.020139062
126, -0.006747225, 0.014282002, 0.024800907, -0.012381904
127, 0.002736141, -0.006115751, 0.002404795, 0.000376528
128, -0.001741917, -0.017885391, 0.009475585, 0.007391330
129, 0.024677881, 0.004843499, -0.008920882, 0.002345693
130, 0.008427043, -0.005087628, 0.017262261, 0.010722444
131, 0.000472499, -0.001623760, 0.027935929, 0.019677212
132, -0.020729619, 0.023074148, 0.032227340, -0.025539721
133, -0.017163140, -0.022853742, 0.004150078, -0.000624145
134, -0.025425165, 0.014328689, -0.000820967, 0.028891958
135, 0.002478216, 0.025875247, -0.017968341, -0.015862097
136, 0.004507660, -0.020349461, -0.024465541, -0.020103997
137, -0.000693114, 0.023441759, 0.009167139, -0.005352239
138, 0.002033539, 0.002358350, -0.007136845, -0.005293735
139, 0.005508197, 0.011218992, -0.021759679, 0.027645389
140, -0.023127058, -0.005412618, -0.022464676, 0.005630410
141, 0.022892503, -0.017598202, 0.021546022, 0.024626161
142, -0.024056961, 0.017850756, -0.007797422, -0.013088249
143, -0.010795015, -0.004290904, -0.017515690, -0.006589261
144, -0.005050922, -0.031723602, -0.013328971, -0.005213981
145, 0.000658509, -0.009544735, 0.017984561, -0.003009412
146, 0.017781583, -0.022786680, 0.027552839, 0.019303917
147, 0.001558702, -0.011912395, -0.007341732, 0.013634779
148, 0.008742350, 0.022707861, -0.002781344, -0.019839617
149, -0.010335255, -0.006669669, -0.000170502, 0.021932566
150, -0.007104671, 0.007179144, -0.003647580, 0.015417913
151, -0.014287632, -0.000997134, 0.000636513, 0.018451921
152, 0.005741336, 0.018313269, 0.024327134, -0.002878855
153, -0.024847563, 0.011339388, -0.012483367, 0.031373858
154, 0.008132811, -0.005229333, -0.012919692, 0.023085586
155, 0.018388452, 0.008091644, 0.005958379, 0.005846804
156, -0.004786413, -0.011570595, -0.010693394, 0.016749874
157, 0.002101284, -0.009556284, 0.012889354, -0.009567829
158, 0.017608598, -0.020944644, -0.024418841, -0.016251856
159, 0.016300849, -0.033077165, -0.023324716, 0.000760446
160, -0.016057184, 0.014063573, 0.016924086, 0.007022867
161, -0.004615603, 0.016340437, -0.015203593, -0.006173560
162, -0.022877474, -0.027620937, 0.020164622, 0.013538321
163, -0.020282839, -0.019451751, 0.005175325, -0.009443066
164, -0.002556119, -0.004485360, 0.012748877, 0.026483063
165, -0.005920437, 0.018476246, 0.017776361, -0.006846520
166, 0.017296829, -0.007509019, -0.019336499, 0.023233922
167, 0.013185619, -0.023975271, -0.013804874, 0.014683864
168, -0.004811380, 0.011151036, -0.012926625, 0.015292768
169, 0.014700536, 0.019347613, -0.016911152, -0.010959283
170, 0.023749694, 0.029926420, -0.018550112, 0.028103707
171, 0.026699063, 0.013039903, -0.021982534, -0.010804307
172, 0.007629163, 0.027276692, 0.022391882, -0.008837769
173, 0.013021720, 0.007580271, -0.013147894, 0.011388863
174, -0.008671873, 0.010124595, -0.018774785, 0.022178756
175, -0.022100841, -0.014676151, 0.022792318, 0.004005714
176, -0.025403811, 0.020395272, 0.027644905, -0.021908687
177, 0.017534039, -0.006799141, 0.011268164, 0.022607387
178, 0.002243704, 0.006863858, -0.012672783, -0.000209322
179, -0.016061043, 0.019593519, -0.013319035, -0.023472523
180, 0.012243593, 0.022806811, 0.003896565, -0.026575404
181, -0.018194397, 0.020412788, 0.005201465, 0.025690724
182, -0.018472840, 0.016326152, -0.022779853, 0.002565317
183, -0.022688440, -0.013228199, 0.029769127, -0.018587330
184, 0.002881681, 0.010772646, -0.023923187, -0.016567761
185, -0.022842199, 0.023813819, -0.025105954, -0.011098184
186, 0.017196580, -0.024311063, -0.004218809, 0.005215368
187, 0.010589718, 0.000417062, -0.018367289, 0.005814690
188, -0.006458423, -0.003694370, -0.021821450, -0.019612323
189, -0.018162499, -0.015252325, 0.020786747, 0.031973118
190, 0.004785852, -0.001646192, 0.011013198, -0.024697034
191, -0.017194275, -0.011059798, -0.006391029, 0.022323588
192, 0.020008505, 0.003985157, -0.009707151, 0.013993556
193, 0.023505798, 0.015001147, 0.002075616, 0.009190711
194, -0.004271279, -0.003688352, -0.004151592, 0.017590209
195, -0.017942510, 0.026758270, 0.015164014, -0.023023069
196, -0.009574495, 0.018987360, 0.028015667, 0.015338510
197, 0.026105281, -0.006545466, 0.002337605, 0.004654823
198, 0.002661204, -0.027749817, -0.020872721, 0.003601071
199, 0.018803100, 0.001156792, 0.023891655, -0.024504491
200, 0.021175275, 0.003229753, -0.013702276, -0.018574210
201, -0.023981545, -0.000382317, -0.000628096, -0.011819039
202, -0.024045396, 0.004619385, 0.010261826, 0.003641951
203, -0.013739981, 0.023395151, 0.005820684, -0.015331729
204, -0.023793179, 0.011317235, -0.015958271, 0.004401708
205, -0.019580552, -0.016968138, -0.015887262, 0.013519359
206, -0.010529960, 0.024144821, 0.005594505, 0.020466799
207, -0.020667886, 0.024962292, -0.006417579, 0.017128518
208, 0.008157251, 0.009227622, 0.010918763, 0.015675182
209, -0.022710732, -0.028701560, 0.009484525, -0.021114392
210, 0.021464715, 0.013477817, -0.008934043, 0.001046739
211, -0.005152468, -0.020729699, -0.008454909, -0.001362100
212, 0.016841978, -0.015218382, 0.017686156, 0.005790803
213, 0.012028719, -0.030832202, -0.005714613, -0.021766064
214, 0.004518257, 0.023118796, -0.000971898, 0.000904765
215, 0.022955603, 0.018131275, 0.017687514, 0.025104040
216, 0.025774074, 0.007336448, -0.011497962, -0.018416575
217, 0.006364772, 0.022783436, 0.023119540, 0.017132988
218, -0.001714873, 0.007965254, -0.016398749, -0.021407810
219, -0.008713755, 0.021995906, 0.017243259, -0.009983365
220, 0.008132898, -0.025500096, 0.007979238, -0.012600027
221, -0.025635771, -0.002447169, -0.012602255, 0.002679748
222, -0.027982529, 0.027750493, 0.000711743, -0.014296419
223, 0.006591522, -0.000972285, 0.019222104, -0.003646805
224, -0.012525384, -0.015815834, -0.006547298, -0.021054350
225, 0.009223501, 0.023281884, -0.017563638, -0.006238743
226, -0.013263857, 0.029083186, -0.004677814, -0.017622672
227, -0.014857965, -0.003466589, -0.007848405, 0.008421842
228, -0.007623139, -0.015880788, 0.001464783, -0.019515634
229, -0.003536657, -0.011254448, -0.011728844, 0.000685725
230, 0.004671251, 0.012944142, 0.020473280, 0.028505145
